Job Type,Job Description,Location,Link,Date Posted
Robinhood,"Software Engineering Intern, Backend (2025)","Menlo Park, CA + 1",https://ucsd.joinhandshake.com/stu/jobs/9228739?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,2wk ago
U.S. Commercial Service United Kingdom (UK),U.S. Embassy London Intern,"London, United Kingdom",https://ucsd.joinhandshake.com/stu/jobs/9158956?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,1mo ago
Honda,Safety Co-op/Intern - Spring 2025,"Lincoln, AL + 7",https://ucsd.joinhandshake.com/stu/jobs/9078310?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,2mo ago
Honda,Safety Co-op/Intern - Summer 2025,"Lincoln, AL + 7",https://ucsd.joinhandshake.com/stu/jobs/9239055?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,2wk ago
Sandia National Laboratories,Concentrating Solar Technologies Intern,"Albuquerque, NM",https://ucsd.joinhandshake.com/stu/jobs/9007001?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,3mo ago
KB Home,Land Acquisition & Development Intern,"Las Vegas, NV",https://ucsd.joinhandshake.com/stu/jobs/8912225?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,4mo ago
Granite River Labs,Hardware Engineering Intern,"Santa Clara, CA",https://ucsd.joinhandshake.com/stu/jobs/8486302?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,9mo ago
Palantir Technologies,"Software Engineer, Internship - Seattle","Seattle, WA",https://ucsd.joinhandshake.com/stu/jobs/9084486?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,2mo ago
Palantir Technologies,"Software Engineer, Internship - DC","Washington, DC",https://ucsd.joinhandshake.com/stu/jobs/9084469?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,2mo ago
KB Home,Homebuilding Operations Intern,"Las Vegas, NV",https://ucsd.joinhandshake.com/stu/jobs/8912002?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,4mo ago
Palantir Technologies,"Software Engineer, Internship - NY","New York, NY",https://ucsd.joinhandshake.com/stu/jobs/9084476?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,2mo ago
Point72,"2025 Summer Internship - Data Engineer, Proprietary Research","New York, NY",https://ucsd.joinhandshake.com/stu/jobs/9219907?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,3wk ago
Palantir Technologies,"Software Engineer, Internship - Palo Alto","Palo Alto, CA",https://ucsd.joinhandshake.com/stu/jobs/9084466?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,2mo ago
U.S. Commercial Service - Mexico City,Student Intern,"Mexico City, Mexico",https://ucsd.joinhandshake.com/stu/jobs/8471756?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,9mo ago
Salesforce,Software Engineering Intern (Security/Government),"San Francisco, CA + 3",https://ucsd.joinhandshake.com/stu/jobs/9296634?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,New
"CSAA Insurance Group, a AAA Insurer",Actuarial Internship,Remote,https://ucsd.joinhandshake.com/stu/jobs/9194845?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,4wk ago
Cubist Systematic Strategies,Summer 2025 Quantitative Researcher Internship,"New York, NY",https://ucsd.joinhandshake.com/stu/jobs/9010585?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,3mo ago
"Williams-Sonoma, Inc.",Research Engineering Intern,"San Jose, CA + 1",https://ucsd.joinhandshake.com/stu/jobs/9239474?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,2wk ago
Cedars-Sinai Research and Academics,"Research Intern - Cancer Research Center for Health Equity - Salvy Lab (Paid, On-Site)","Los Angeles, CA",https://ucsd.joinhandshake.com/stu/jobs/8852807?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,5mo ago
Humana,Summer 2025 IT Intern,"Louisville, KY",https://ucsd.joinhandshake.com/stu/jobs/9267551?ref=open-in-new-tab&search_id=c4db8b3e-9e16-4388-a4a4-e53ce7bbbdcc,1wk ago
